Date,Open,High,Low,Close,Volume,Change
2023-01-02,"24,450원","24,600원","24,000원","24,150원","971,436건",-0.62%
2023-01-03,"23,950원","24,350원","23,150원","24,100원","1,989,456건",-0.21%
2023-01-04,"23,850원","25,400원","23,750원","25,400원","1,904,935건",5.39%
2023-01-05,"25,850원","27,400원","25,800원","27,300원","4,962,544건",7.48%
2023-01-06,"27,100원","27,500원","26,250원","27,200원","2,002,445건",-0.37%
2023-01-09,"28,050원","28,750원","27,950원","28,500원","3,225,903건",4.78%
2023-01-10,"28,450원","28,750원","28,050원","28,350원","1,828,228건",-0.53%
2023-01-11,"28,700원","28,800원","27,500원","27,800원","2,315,273건",-1.94%
2023-01-12,"28,100원","28,300원","27,150원","27,600원","1,995,420건",-0.72%
2023-01-13,"28,000원","28,850원","27,850원","28,150원","3,448,219건",1.99%
2023-01-16,"28,350원","29,700원","28,050원","29,450원","4,304,796건",4.62%
2023-01-17,"29,650원","29,700원","28,400원","28,450원","2,376,726건",-3.40%
2023-01-18,"28,350원","28,400원","27,500원","27,550원","1,690,052건",-3.16%
2023-01-19,"27,050원","27,450원","26,850원","27,200원","1,803,219건",-1.27%
2023-01-20,"27,250원","27,950원","27,200원","27,800원","1,294,811건",2.21%
2023-01-25,"28,300원","28,600원","28,050원","28,150원","1,428,727건",1.26%
2023-01-26,"28,300원","28,650원","27,800원","28,550원","1,323,662건",1.42%
2023-01-27,"28,800원","29,100원","28,500원","28,900원","1,824,468건",1.23%
2023-01-30,"29,050원","29,400원","27,850원","27,850원","1,764,449건",-3.63%
2023-01-31,"27,850원","28,350원","27,050원","27,100원","1,755,874건",-2.69%
2023-02-01,"27,500원","27,850원","27,400원","27,750원","951,018건",2.40%
2023-02-02,"28,350원","28,550원","28,050원","28,100원","1,381,642건",1.26%
2023-02-03,"28,250원","28,950원","28,200원","28,850원","2,148,959건",2.67%
2023-02-06,"28,850원","28,850원","28,050원","28,200원","1,166,927건",-2.25%
2023-02-07,"28,250원","28,750원","28,050원","28,700원","1,312,232건",1.77%
2023-02-08,"29,450원","30,150원","28,200원","28,200원","4,043,086건",-1.74%
2023-02-09,"28,400원","28,400원","27,050원","27,400원","4,069,345건",-2.84%
2023-02-10,"27,250원","27,250원","26,550원","26,650원","2,730,921건",-2.74%
2023-02-13,"26,600원","26,600원","25,850원","25,900원","1,965,789건",-2.81%
2023-02-14,"26,300원","26,600원","26,100원","26,100원","1,342,928건",0.77%
2023-02-15,"26,100원","26,250원","24,200원","24,600원","4,523,964건",-5.75%
2023-02-16,"24,950원","25,800원","24,850원","25,500원","2,397,713건",3.66%
2023-02-17,"24,950원","25,700원","24,100원","25,300원","1,926,428건",-0.78%
2023-02-20,"25,300원","26,350원","24,900원","26,200원","1,865,030건",3.56%
2023-02-21,"26,250원","26,350원","25,700원","25,850원","1,113,724건",-1.34%
2023-02-22,"25,250원","25,700원","25,200원","25,500원","1,204,244건",-1.35%
2023-02-23,"25,550원","25,800원","25,400원","25,550원","1,090,063건",0.20%
2023-02-24,"25,450원","25,650원","25,050원","25,250원","1,281,843건",-1.17%
2023-02-27,"25,050원","25,450원","24,900원","25,450원","826,499건",0.79%
2023-02-28,"25,350원","26,800원","25,350원","26,650원","3,175,120건",4.72%
2023-03-02,"26,450원","26,600원","26,050원","26,050원","1,363,282건",-2.25%
2023-03-03,"26,200원","26,500원","25,800원","26,300원","987,135건",0.96%
2023-03-06,"26,500원","26,800원","26,200원","26,600원","1,783,482건",1.14%
2023-03-07,"26,700원","26,700원","26,000원","26,200원","999,182건",-1.50%
2023-03-08,"25,700원","25,700원","25,000원","25,000원","2,020,022건",-4.58%
2023-03-09,"25,150원","25,200원","24,650원","24,700원","1,873,659건",-1.20%
2023-03-10,"24,050원","24,200원","23,500원","23,950원","2,601,759건",-3.04%
2023-03-13,"23,700원","24,650원","23,500원","24,400원","2,459,187건",1.88%
2023-03-14,"24,050원","24,700원","24,000원","24,300원","1,609,331건",-0.41%
2023-03-15,"24,800원","25,100원","24,350원","24,350원","1,265,438건",0.21%
2023-03-16,"24,100원","24,150원","23,600원","24,150원","1,308,474건",-0.82%
2023-03-17,"24,400원","24,900원","24,300원","24,700원","1,334,199건",2.28%
2023-03-20,"24,600원","24,950원","24,400원","24,800원","763,901건",0.40%
2023-03-21,"24,950원","25,000원","24,350원","24,500원","751,555건",-1.21%
2023-03-22,"24,900원","25,000원","24,550원","25,000원","808,060건",2.04%
2023-03-23,"24,750원","25,450원","24,450원","25,200원","1,223,199건",0.80%
2023-03-24,"24,800원","25,150원","24,650원","24,800원","837,199건",-1.59%
2023-03-27,"24,800원","24,800원","23,500원","23,950원","1,826,186건",-3.43%
2023-03-28,"24,200원","24,650원","24,100원","24,650원","1,411,520건",2.92%
2023-03-29,"24,650원","24,700원","24,000원","24,100원","1,147,386건",-2.23%
2023-03-30,"24,250원","24,250원","23,850원","23,950원","1,074,138건",-0.62%
2023-03-31,"24,050원","24,250원","23,850원","24,150원","1,032,187건",0.84%
2023-04-03,"24,150원","24,450원","23,900원","24,000원","1,174,184건",-0.62%
2023-04-04,"24,100원","24,250원","23,850원","24,200원","967,757건",0.83%
2023-04-05,"24,150원","24,350원","24,050원","24,250원","662,542건",0.21%
2023-04-06,"24,100원","24,150원","23,300원","23,300원","1,757,879건",-3.92%
2023-04-07,"23,400원","23,800원","23,100원","23,600원","981,812건",1.29%
2023-04-10,"23,500원","23,550원","22,900원","22,950원","1,848,861건",-2.75%
2023-04-11,"22,950원","22,950원","22,300원","22,350원","2,059,931건",-2.61%
2023-04-12,"22,400원","22,550원","22,050원","22,100원","1,788,024건",-1.12%
2023-04-13,"22,100원","22,450원","22,000원","22,450원","1,597,077건",1.58%
2023-04-14,"22,600원","24,200원","22,600원","23,750원","3,559,327건",5.79%
2023-04-17,"23,600원","23,900원","23,250원","23,800원","1,431,260건",0.21%
2023-04-18,"23,850원","24,000원","23,500원","23,750원","1,147,004건",-0.21%
2023-04-19,"23,750원","23,850원","23,350원","23,400원","772,764건",-1.47%
2023-04-20,"23,250원","23,600원","23,100원","23,400원","753,462건",0.00%
2023-04-21,"23,150원","23,550원","23,000원","23,250원","751,113건",-0.64%
2023-04-24,"23,200원","23,200원","22,750원","22,900원","624,039건",-1.51%
2023-04-25,"22,850원","23,000원","22,250원","22,400원","908,765건",-2.18%
